ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
120,95,28/05/2022,Casa,"2,5-3/5",,,,,,,
121,95,11/06/2022,Casa,"2,5-3/5",,,,,,,
122,96,05/03/2025,Chi C'è C'è - Champagne Society,"3,5/5",paglierino,"agrume, fume, fruttato, pasticceria","fresco e salato, agrumato, buona struttura e persistenza",buono stile maison,,,
123,97,14/06/2022, Bar Gorille,3/5,,,,,,,
124,98,03/10/2023,Via dei Guinceri,3/5,giallo paglierino acceso,"fine, agrume, frutta rossa e bianca (mela), mandorla, burro","fresco e sapido, gradevole punta dolce, cremoso, complesso, delicato, di struttura ma non molto lungo","ottimo champagne anche se le condizioni di assaggio non erano ottimali sia per i bicchieri sia io che non ero concentrato al massimo dato il contesto della serata, rotondo e burroso, gastronomico. Indubbiamente da riprovare",,,
125,99,25/06/2024,Triennale Milano - Winetip,3/5,"giallo paglierino, bolla fine","frutta gialla, floreale, agrume e minerale","fresco e sapido, struttura presente e buona persistenza, agrume e frutta bianca","buon vino d’ingresso, buono per aperitivo",,,
126,100,25/03/2023,Casa,"2-2,5/5",,,,,,,
127,101,25/06/2024,Triennale Milano - Winetip,"3,5/5","giallo paglierino, bolla elegante ben presente","agrume e floreale, gesso, pasticceria","fresco e sapido, retrogusto di nocciola, buona bevibilità","buono, aperitivo",,,
128,102,25/06/2024,Triennale Milano - Winetip,"3,5-4/5",giallo paglierino dorato,"frutta bianca, gialla e rossa, agrume rosso, gradevolmente formaggioso e pasticceria, floreale, salvia","fresco e sapido, retrogusto agrumato, frutta bianca e minerale, struttura molto buona e persistenza, bevibilità",bella bottiglia,,,
129,103,25/06/2024,Triennale Milano - Winetip,"3,5/5",rosa cipolla,"frutta e agrume rosso, sanguinella, pasca e frutta gialla","fresco e sapido, buona struttura e buona persistenza, vinoso e bevibile",buon Rose,,,
130,104,08/08/2022,Butterfly - Lucca,"2,5/5",,,,,,,
131,105,08/09/2023,Henri Giroud - Champagne Society,"3,5/5","giallo dorato, bolla fine ed elegante","frutta rossa e floreale, agrume, poi lèggerà pasticceria e crosta di pane","molto fresco e sapido, minerale. Di buona struttura e persistenza. Una nota di agrume amaro, pompelmo","vino d’ingresso, stesso Uvaggio del precedente ma solo botti di 5 anni. Ottima bevibilità da bere a carrettate",,,
132,106,08/09/2023,Henri Giroud - Champagne Society,"4-4,5/5","giallo dorato, bolla delicata","frutta rossa e agrume, erbaceo delicato, poi arriva la pasticceria","sapido e molto fresco, complesso è di corpo, di buona persistenza pur essendo una 18","2018, 80%pn 20% Chard. Molto equilibrato pur nella sua complessità, di grande beva.",,,
133,107,08/09/2023,Henri Giroud - Champagne Society,"3,5-4/5","giallo dorato, bolla elegante","frutta rossa, agrume (pompelmo molto delicato?), mineralita, pasticceria",fresco e sapido con nota di leggero amaricante che lo rende molto interessante. Buona la struttura e la persistenza,"di grande bevibilità, dritto, ottimo da tavola ma anche da bere solo per la complessità che presenta.",,,
134,108,08/09/2023,Henri Giroud - Champagne Society,3/5,"giallo paglierino, bolla molto vivace e misura media","frutta bianca e agrume, pasticceria","fresco, sapido con la mineralita delicata ma presente. Mi piace la delicata persistenza e di buona struttura. Solo bolla un po’ troppo vivace"," buon Chard su terreno di Ay tipico da PN, ottimo per aperitivo",,,
135,109,08/09/2023,Henri Giroud - Champagne Society,3/5,"rosato arancione non profondo, bolla media e vivacina","frutta rossa, prugna e fragola, agrume, poi burro e pasticceria","fresco e sapido, anche questo presenta un delicato amaricante di bitter che lo rende coinvolgente, buona la struttura e persistente ma non eccessivo","fatto macerare in mescolanza durante la pressatura (no aggiunta vino rosso, no de Saignee) quelle che chiamano occhio di pernice. Interessante",,,
136,110,18/03/2025, Top Missori,3/5,paglierino,"fruttato e agrumato, pasticceria","fresco e sapido, buona struttura e persistenza",ok aperitivo,,,
137,111,28/06/2023,Champagne Society - Bu:r,"3,5-4/5",giallo dorato,"un naso non piacevole ma non sgradevole, che ho difficoltà a catalogare","propoli, comunque complesso e strutturato","è sempre bello aprire bottiglie vecchie. nello specifico molto evoluta, penso che mi manchi ancora esperienza per comprenderla in profondo",,,
138,112,30/06/2022,Champagne Society,4/5,,,,,,,
139,113,20/05/2023,Tour Champagne Society - Le Wine Bar,3/5,,,,"Alla cieca, bottiglia complessa che ha fatto discutere. Per tutti era un vigneron anche se io ho chiamato maison e forse avrei potuto lanciarmi si jacquesson. troppo stanco e assuefatto x le tante bottiglie bevute ma se capiterà da riassaggiare",,,
140,114,30/06/2022,Champagne Society,3/5,,,,,,,
141,115,30/06/2022,Champagne Society,4/5,,,,,,,
142,116,12/03/2023,Arnaldo - Rubiera,"3,5/5",,,,"Fresca, pulita, dritta",,,
143,117,30/06/2022,Champagne Society,3/5,,,,,,,
144,118,30/06/2022,Champagne Society,4/5,,,,,,,
145,119,19/09/2022,Top Missori,"3,5-4/5",,,,,,,
146,120,18/12/2022,Chamapagne Society - Rubiera,4/5,,,,,,,
147,121,02/06/2022,Champagne Society,4/5,,,,,,,
148,121,30/06/2022,Champagne Society,4/5,,,,,,,
149,122,18/05/2023,Tour Champagne Society - Les Avizes,"4-4,5/5",giallo dorato,"frutta bianca, pera, agrume, frutta candita, ossidazione positiva","fresco, agrumato, bollicina elegante ma impertinente","fresco come non mi sarei aspettato, ma anche dritto e di corpo, persistente",,,
150,122,23/03/2024,Champagne Society - Le Wine Bar - Reims,"4-4,5/5",,"all’inizio chiuso poi esce la complessità della frutta, minerale e pasticceria","fresco e sapido, dritto,","bella bottiglia, ancora in forma, mi aspettavo più ossidativa (non ho guardato collo della bottiglia bourbon liege)",,,
151,123,03/05/2022,Wine Tip,"4,5/5",,,,,,,
152,123,30/06/2022,Champagne Society,"4,5/5",,,,,,,
153,123,30/10/2022,casa,"4,5/5",,,,,,,
154,124,24/04/2023,casa,4/5,giallo dorato,"Tanta mineralità che va alla grafite, sento frutta bianca matura, con frutta rossa, ananas candito è un leggero zenzero candito, lievito e leggera crosta di pane. Alla fine avverto una punta di agrume e florealita della mimosa.","fresco, verticale, persistente, perlate delicato, leggermente sapido e leggero amaricante","quel gusto jacquesson che lo rende unico, preciso ed equilibrato.",,,
155,124,30/07/2023,casa,4/5,giallo paglierino dorato,"frutta bianca matura e esotica, ananas, zenzero candito, frutta gialla e rossa, agrume, leggera pietra focaia/polvere da sparo, poi pasticceria e crosta di pane","fresco e sapido, un po’ grasso, retrolfattiva di agrume e frutta bianca e gialla","complesso, coinvolgente, di grande finezza e raffinatezza. Grande bevibilita, adatto a tutte le occasioni.",,,
156,125,09/07/2023,casa,3/5,Giallo paglierino con riflessi dorati,"coinvolgente ma fine di agrume, frutta bianca anche esotica, pasticceria e crosta di pane","fresco, sapido con buon agrume con buona acidità ma lo percepisco esile, non troppo lungo",è Jacquesson ma esile e non strutturato in bocca,,,
157,126,30/06/2022,Champagne Society,4/5,,,,,,,
158,126,16/11/2022,Via di Guinceri,4/5,,,,,,,
159,126,29/03/2023,Via dei Guinceri,4/5,"dorato leggero, elegante, bolla fine","frutta candita, agrumi, spezie, frutta rossa, lèggerò affumicatura, e poi pasticceria, burro","bella freschezza, nocciola, raffinato, intenso, mineralita e sapidità.",,,,
160,126,01/04/2023, casa,4/5,,"frutta bianca, agrume, leggera pietra focaia, frutto rosso, poi lentamente evolve ed arriva pasticceria e frutta candita","fresco e dritto, persistente, spezia, grande bevibilita",grande bottiglia ma le prossime in cantina voglio aprirle a distanza di 6 mesi,,,
161,126,16/09/2023, casa,4/5,giallo paglierino con riflessi dorati. Bolla fine ed elegante,"complesso di frutta dalla bianca alla rossa, matura e candita, note agrumate, spezia, pasticceria e burro","grande freschezza e acidità, sapido, ottime note di agrume e spezia, mineralita, ottima struttura e persistenza",grande vino che sta migliorando nel tempo,,,
162,126,20/01/2024, casa,4/5,giallo dorato,"ottima complessità olfattiva dall’agrume alla frutta bianca e gialla, poi pasticceria, burro, miele","fresco e sapido, bella persistenza, bolla fragrante, aromi di frutta e pasticceria, accompagna bene il pasto, oggi su carbonara","gran bello champagne, grande beva e versatilità, molto complesso ma non difficile o per pochi",,,
163,126,20/09/2024, casa,4/5,giallo paglierino,"complesso ma delicato, frutta da bianca a rossa, floreale, burro, pasticceria","fresco e leggermente sapido, bella struttura e persistenza, ottima bevibilità",buon champagne gastronomico e aperitivo strutturato,,,
164,127,08/02/2025, casa,"3,5/5",paglierino acceso,"agrume, frutta bianca e gialla, pasticceria","fresco e sapido, agrumato in retro nasale, struttura un po’ fine, quasi diluita come molte 2018, persistenza buona ma altra debolezza di questa bottiglia","buona bottiglia, da bere se pagata corretta ma nulla di esaltante",,,
165,128,30/06/2022,Champagne Society,"3,5/5",,,,,,,
166,129,13/06/2023,Top Champagne,4/5,Giallo paglierino/dorato,"Burroso, panna, crema","Burroso anche in bocca, con una bella pasticceria, sostenuta da leggera acidità","Bella evoluzione, cremosa è leggermente grassa",,,
167,130,22/03/2025,Il Boschetto (Modena) -Champagne Society,4/5,paglierino,"agrume e frutta bianca matura, gesso, pasticceria di pasta di mandorle","fresco e sapido, leggera nota dolce, ottima struttura e grande persistenza",ottimo!,,,
168,131,30/06/2022,Champagne Society,4/5,,,,,,,
169,132,10/04/2022,Casa,"2-2,5/5",,,,,,,
170,133,31/12/2022,Dindo Carezza,"2,5",,,,,,,
171,133,07/01/2023,Villa Palla,"2,5",,,,,,,
172,133,19/02/2023,Casa,3/5,," All’olfatto agrume che evolvé poi in frutti bianchi e rossi, arriva poi anche panettone e mineralita."," Al palato fresco e tira altri bicchieri, anche di buona persistenza","ottimo champagne base di maison, non complesso ma assai valido per aperitivo con persone non esperte (ma anche).",,,
173,133,25/04/2023,Villa Palla,3/5,,"florealità bianca e dalla frutta anch’essa bianca, mentre la tipicità è rappresentata dalle tostature e dalla grassezza di nocciola. Più defilate mineralità e agrumi","Bocca cremosa e fresca, ora evidentemente minerale e agrumata. Ottimo l’equilibrio tra leggerezza e intensità, tanto che la definizione di “nuvola” è quanto mai azzeccata. Gli ultimi complimenti sono per la lunghissima chiusura sulla frutta bianca, la finezza che non viene mai meno",si conferma l’ottima bottiglia d’ingresso sia per chi non ha passione e palato sia per chi lo champagne lo ama.,,,
174,133,08/06/2023,Intarget Polo,3/5,,,,,,,
175,134,23/04/2023,Corso Como 10,"3,5/5",Rosa carico,"arancia sanguinella, frutta rossa soprattutto fragola e fragolina. Gesso e mineralita, pepe di sishuan","fresco e lungo, richiama l’arancia sanguinella con leggerissimo e piacevole amaricante","ottimo Rose di PN in purezza, e ottimo Rose d’ingresso di maison. Da ripetere",,,
176,135,26/12/2023,Casa Mamma,5/5,giallo dorato,"complesso di frutta bianca e gialla, florealità d’agrume, agrumi, pasticceria","fresco e sapido in perfetto equilibrio, lungo ma non eccessivo, vino di elegante e misurato equilibrio.","Lo Champagne x eccellenza, quando vuoi bere la storia di un terroir quale è la champagne, quando vuoi coccolarti, quando vuoi gustare il piacere del perfetto equilibrio",,,
177,136,15/03/2022,Champagne Society (Rubiera),5/5,,,,,,,
178,137,04/03/2023,Casa,"4,5/5",Giallo acceso e profondo con riflessi dorati meravigliosamente rotondo,"elegante, equilibrato e classico, note di agrumi e albicocca, con il passare del tempo esce una elegante nota fume.","Al palato è elegantemente rotondo e rispecchia tutto quanto al naso. Emoziona berlo, ed è potente sia solo sia abbinato a molto…. Ovviamente non a tutto ",,,,
179,138,03/05/2022,Wine Tip,5/5,,,,,,,
180,139,03/06/2022,Champagne Society,"4,5/5",,,,,,,
181,140,19/03/2022,Casa,3/5,,,,,,,
182,140,15/05/2022,Casa,3/5,,,,,,,
183,140,20/06/2022,Casa,3/5,,,,,,,
184,140,02/07/2022,Casa,3/5,,,,,,,
185,140,10/01/2023,Casa,3/5,,,,"si conferma una bottiglia completa, complessa ma di facile bevuta. Una sicurezza sia per aperitivo sia a tavola",,,
186,140,21/01/2023,Casa,3/5,,,,"la sesta bottiglia che bevo, conferma la validità di questo champagne. Buono il naso e la bocca, complesso ma piacevole e non impegnativo. Abbinato alla pizza bianca Hagrid, l’accompagna con gran gusto",,,
187,141,17/12/2023,Champagne Society - Rubiera,"3,5-4/5",giallo paglierino,"complessità di frutto, gesso e pasticceria","fresco e sapido,","magnum si esalta ancora di più, un grande champagne",,,
188,142,16/12/2022,Festa Natale intarget,"3-3,5/5",,,,,,,
189,142,23/03/2023,Casa,"3-3,5/5",giallo paglierino vivo,"mela, frutto bianco, agrumari, burro, pasticceria, ananas, complesso ed elegante","fresco e persistente, bella bolla,",,,,
190,142,29/04/2023,Casa,"3-3,5/5",giallo brillante,"frutta bianca, frutta rossa di bosco, leggera ma piacevole pietra focaia, gesso, burro, pasticceria e miele","molto fresco con perlacea elegante, persistente, si conferma la pietra focaia e la frutta bianca, con sapidità che equilibra e da una bella bevibilità.","confermo la mia preferenza per questo champagne tra quelli di maison sanse anne, in abbinamento con la serie 700 di Jacquesson",,,
191,143,08/06/2024,Casa,4/5,giallo paglierino carico,"grande complessità dalla frutta bianca e gialla, al floreale, minerale e belle e delicate note terziarie","fresco e sapido, bolla elegante e vivace, ottima struttura e persistenza, grande bevibilità","si conferma un ottimo progetto e la 244, probabilmente anche grazie alla 2019, è un ottima bottiglia",,,
192,144,19/05/2023,Tour Champagne Society - La Caserne Chanzy,"3,5-4/5",,"Bellissimo naso con un frutto che esce in modo stupendo per la delicatezza, avverto gesso","Palato altrettanto superbo, fragrante ma elegante la bolla, sapido e fresco in ottimo equilibrio. Bella freschezza e sapidità",Si conferma la mia convinzione di quanto questa bottiglia sia la mia entry level di maison preferita.,,,
193,145,20/05/2023,Tour Champagne Society - Le Wine Bar,"3,5-4/5",,"Frutta rossa con evoluzione, crema e pasticceria","Al palato fresco e preciso, conferma il naso",grande bottiglia,,,
194,146,24/06/2022,casa,"3,5-4/5",,,,,,,
195,146,09/07/2022,casa,"3,5-4/5",,,,,,,
196,146,09/10/2022,casa,"3,5-4/5",,,,,,,
197,146,21/06/2023,Viadei Guinceri,"3,5-4/5",Giallo paglierino con riflessi dorati,"frutta rossa e bianca, agrume ma con pasticceria, burro e crosta di pane","fresco e sapido, agrume ben marcato e di grande persistenza","da bere sempre, soprattutto quando non vuoi pensare, cerchi piacere e coccole senza doverti impegnare. Da avere sempre in cantina",,,
198,147,08/06/2022,casa,3/5,,,,,,,
199,147,10/07/2022,casa,3/5,,,,,,,
200,148,26/02/2023,casa,"3,5-4/5",,"frutto rosso, agrume e spezia, sentore di miele con richiamo di panpepato. ",Fresco e sensuale al palato che conferma l’agrume.,,,,
201,148,13/08/2023,Casa Bianchi Carezza,"3,5-4/5",,"fruttato di frutto rosso (ribes) e agrume rosso, poi arriva il miele che unito ai frutti ricorda il Panpepato","fresco e sapido, bella mineralita con bolla elegante, persistente, con retronasale fruttato.","si conferma un ottimo vino, da aperitivo e da tutto pasto, ma con il salame…. Grande bevibilita.",,,
202,149,09/02/2024,Casa,"3,5-4/5",rosa antico,"agrume, frutta rossa selvaggia di bosco, mandorla, miele, spezia, zenzero e pasticceria","fresco, sapido, aromi di frutta rossa, agrume e miele, di bella struttura e beva",vino di ottima complessità ma gioioso e che tira un bicchiere via l’altro.,,,
203,150,03/05/2022,Wine Tip,"3,5-4/5",,,,,,,
204,150,10/12/2022,casa,"3,5-4/5",,,,,,,
